batter_id,pitcher_id,ab,h,hr,rbi,k,bb,avg,ops
677594,687064,3,0,0,0,1,0,.000,.000
677594,686613,24,8,1,5,8,2,.333,.927
677594,673540,3,1,0,0,1,0,.333,.666
647304,605288,7,0,0,0,3,1,.000,.222
677594,680736,1,0,0,0,1,0,.000,.000
677594,666200,7,3,1,2,3,1,.429,1.357
677594,678022,2,0,0,0,0,0,.000,.000
677594,663969,1,0,0,0,0,0,.000,.000
677594,677958,10,2,0,1,1,0,.200,.600
677594,805673,3,1,0,0,0,0,.333,.666
677594,672282,13,6,1,4,3,3,.462,1.409
677594,543037,3,0,0,0,0,0,.000,.000
677594,677944,5,0,0,0,0,1,.000,.167
677594,669467,3,0,0,0,0,0,.000,.000
677594,656605,3,2,1,3,1,0,.667,2.334
647304,608379,18,5,0,3,2,0,.278,.667
677594,650633,12,0,0,0,5,2,.000,.143
677594,518876,12,2,0,1,2,0,.167,.417
677594,664285,30,9,1,2,12,5,.300,.817
677594,605288,7,3,1,3,0,1,.429,1.413
677594,665795,2,0,0,0,1,0,.000,.000
677594,656876,10,3,1,1,1,0,.300,1.100
677594,663903,12,4,0,0,2,0,.333,.666
677594,608379,16,6,1,4,1,0,.375,1.000
670042,669467,2,0,0,0,1,0,.000,.000
670042,687064,2,0,0,0,0,1,.000,.333
670042,663436,2,0,0,0,2,0,.000,.000
670042,678022,3,1,0,0,2,0,.333,.666
670042,686613,11,0,0,0,7,2,.000,.154
670042,673540,2,0,0,0,2,0,.000,.000
670042,543037,2,0,0,0,1,0,.000,.000
670042,672282,1,0,0,0,0,1,.000,.500
670042,664285,2,0,0,0,0,0,.000,.000
670042,663903,10,5,2,6,2,0,.500,1.745
670042,663969,2,2,1,3,0,0,1.000,3.500
670042,650633,6,3,0,2,1,1,.500,1.125
670042,677944,5,3,0,2,2,0,.600,1.200
670042,518876,3,1,0,0,0,0,.333,.833
670042,677958,6,2,0,1,1,1,.333,.929
670042,665795,1,0,0,0,0,1,.000,.500
670042,656605,4,1,0,1,1,0,.250,.500
670156,673540,2,0,0,0,0,1,.000,.333
670156,686613,3,1,0,0,0,1,.333,.833
670042,608379,3,1,1,1,1,0,.333,1.666
670042,656876,1,0,0,1,0,0,.000,.000
670042,605288,4,0,0,0,2,0,.000,.000
670156,687064,2,0,0,0,1,0,.000,.000
670156,805673,3,0,0,0,1,0,.000,.000
670156,543037,5,2,0,0,1,0,.400,1.000
670156,650633,2,1,0,1,0,0,.500,1.000
670156,518876,2,0,0,0,2,0,.000,.000
670156,663969,1,0,0,0,0,0,.000,.000
670156,669302,2,1,0,0,0,0,.500,1.000
670156,656605,5,2,0,0,0,0,.400,1.000
670156,605288,2,0,0,0,0,0,.000,.000
670156,677958,4,0,0,0,1,0,.000,.000
641598,678022,1,0,0,0,0,0,.000,.000
670156,663903,3,0,0,0,1,1,.000,.250
670156,608379,2,0,0,0,0,0,.000,.000
641598,686613,4,2,0,0,2,1,.500,1.214
641598,543037,3,1,0,0,1,0,.333,1.000
641598,650633,7,2,0,1,2,0,.286,.572
641598,666200,6,3,0,0,1,0,.500,1.000
641598,687064,2,0,0,0,1,1,.000,.333
641598,518876,2,0,0,0,1,0,.000,.000
641598,663969,1,0,0,0,1,0,.000,.000
641598,672282,11,3,1,2,2,3,.273,1.036
641598,669302,11,3,0,1,1,0,.273,.546
641598,664285,32,6,0,2,6,5,.188,.535
641598,677944,4,1,0,0,1,0,.250,.750
641598,605288,9,1,1,1,2,2,.111,.717
641598,663903,3,0,0,0,2,0,.000,.000
641598,608379,4,2,0,1,1,1,.500,1.350
668227,673540,3,0,0,0,2,0,.000,.000
641598,656876,2,2,0,0,0,1,1.000,2.500
668227,678022,4,2,2,3,1,0,.500,2.500
668227,666200,10,2,0,0,3,4,.200,.629
668227,687064,3,0,0,0,0,0,.000,.000
668227,686613,16,1,0,0,7,1,.063,.292
668227,663372,3,0,0,0,2,0,.000,.000
668227,680736,1,0,0,0,1,0,.000,.000
668227,669467,4,2,0,1,2,0,.500,1.250
668227,663436,11,2,1,3,2,1,.182,.812
668227,543037,38,8,1,2,14,1,.211,.573
668227,672282,13,3,0,1,4,2,.231,.564
668227,656550,1,0,0,0,1,0,.000,.000
668227,518876,11,5,1,1,2,0,.455,1.182
668227,664285,15,4,0,2,3,3,.267,.989
668227,805673,3,1,1,1,1,0,.333,1.666
668227,677958,6,2,0,1,2,2,.333,.933
668227,663969,3,0,0,0,0,1,.000,.250
668227,677944,3,1,0,1,0,0,.333,1.000
668227,656605,3,1,0,0,0,0,.333,.666
668227,650633,14,6,2,4,3,2,.429,1.429
668227,665795,3,1,0,3,1,0,.333,1.000
668227,605288,9,1,0,0,3,1,.111,.384
668227,669302,11,4,0,3,6,0,.364,1.091
668227,608379,20,4,3,7,7,0,.200,.973
668227,656876,7,3,0,0,2,0,.429,.858
668227,656492,1,1,0,0,0,0,1.000,3.000
608701,666200,5,0,0,1,2,3,.000,.375
608701,680736,3,1,0,0,1,0,.333,.666
668227,663903,12,1,0,2,4,2,.083,.297
