player_id,name,team_id,l7_ab,l7_h,l7_hr,l7_rbi,l7_k,l7_bb,l7_avg,l7_ops,l14_ab,l14_h,l14_hr,l14_avg,l14_ops,sea_ab,sea_h,sea_hr,sea_avg,sea_ops,l5_hr,l10_hr,l5_h,l10_h,l10_tb,l5_tb,sea_k_pct,l14_k_pct,l15_k_pct,sea_k,sea_pa
676439,Hunter Feduccia,139,19,2,0,1,7,2,0.105,0.401,35,4,0,0.114,0.376,99,22,1,0.222,0.593,0,0,1,3,5,2,0.318,0.308,0.302,35,110
680700,Richie Palacios,139,21,4,0,0,0,2,0.19,0.451,44,9,0,0.205,0.505,169,39,1,0.231,0.631,0,0,3,7,9,3,0.193,0.128,0.137,37,192
663743,Nick Fortes,139,20,3,0,1,2,0,0.15,0.3,43,11,0,0.256,0.599,182,46,1,0.253,0.597,0,0,3,8,10,3,0.128,0.114,0.106,24,187
683748,Victor Mesa Jr.,139,19,4,1,3,5,1,0.211,0.671,33,8,2,0.242,0.814,61,12,3,0.197,0.661,1,2,4,6,13,8,0.243,0.205,0.214,17,70
547180,Bryce Harper,143,27,9,3,9,8,3,0.333,1.067,52,19,5,0.365,1.172,298,82,20,0.275,0.918,3,5,8,18,37,17,0.195,0.203,0.206,68,349
681082,Bryson Stott,143,26,7,1,4,7,3,0.269,0.768,51,13,1,0.255,0.725,275,65,7,0.236,0.682,0,1,3,9,14,3,0.178,0.175,0.167,53,297
670764,Taylor Walls,139,23,6,0,0,6,2,0.261,0.668,42,11,0,0.262,0.687,188,42,0,0.223,0.611,0,0,4,8,11,5,0.257,0.229,0.216,55,214
650490,Yandy Díaz,139,22,10,0,4,4,4,0.455,1.129,49,19,0,0.388,0.943,295,99,12,0.336,0.919,0,0,9,16,20,11,0.137,0.193,0.18,45,329
669016,Brandon Marsh,143,31,13,4,8,10,1,0.419,1.309,59,19,6,0.322,1.022,295,95,14,0.322,0.882,3,5,7,15,32,17,0.265,0.361,0.354,82,309
656941,Kyle Schwarber,143,22,5,1,3,9,5,0.227,0.734,49,14,6,0.286,1.05,304,77,30,0.253,0.948,1,5,5,11,26,8,0.343,0.31,0.312,122,356
592663,J.T. Realmuto,143,26,5,0,6,4,2,0.192,0.558,52,11,2,0.212,0.691,198,41,5,0.207,0.598,0,0,4,7,12,6,0.2,0.196,0.233,43,215
596117,Garrett Stubbs,143,7,0,0,0,1,0,0.0,0.0,18,2,0,0.111,0.269,24,4,0,0.167,0.367,0,0,0,0,0,0,0.2,0.263,0.263,5,25
702222,Justin Crawford,143,25,7,0,0,6,1,0.28,0.628,44,14,0,0.318,0.712,239,59,2,0.247,0.629,0,0,6,9,11,6,0.216,0.239,0.234,55,255
665561,Rafael Marchán,143,17,4,1,2,1,0,0.235,0.647,37,5,1,0.135,0.374,78,9,2,0.115,0.319,1,1,3,5,8,6,0.177,0.105,0.1,14,79
624641,Edmundo Sosa,143,24,4,1,6,6,0,0.167,0.584,42,11,2,0.262,0.762,135,30,5,0.222,0.624,1,1,2,7,13,6,0.232,0.238,0.222,32,138
672386,Alejandro Kirk,141,21,4,1,3,3,0,0.19,0.523,48,10,1,0.208,0.552,60,11,2,0.183,0.551,1,1,2,4,7,5,0.172,0.18,0.185,11,64
687282,Gabriel Rincones Jr.,143,22,3,0,1,8,0,0.136,0.272,36,4,1,0.111,0.305,36,4,1,0.111,0.305,0,1,3,4,7,3,0.306,0.306,0.306,11,36
678218,Brandon Valenzuela,141,23,4,0,1,11,4,0.174,0.513,45,12,3,0.267,0.886,150,36,7,0.24,0.749,0,0,1,6,7,1,0.253,0.294,0.315,43,170
656537,Derek Hill,143,16,6,2,4,7,1,0.375,1.224,32,10,2,0.312,0.864,112,27,6,0.241,0.712,2,2,4,8,15,10,0.358,0.424,0.432,43,120
664761,Alec Bohm,143,26,3,0,2,5,2,0.115,0.333,50,11,1,0.22,0.584,293,65,9,0.222,0.626,0,0,2,7,9,3,0.146,0.132,0.155,46,314
607208,Trea Turner,143,33,11,1,3,9,1,0.333,0.838,57,17,1,0.298,0.726,341,80,8,0.235,0.627,1,1,7,14,19,11,0.229,0.237,0.246,83,363
672960,Kazuma Okamoto,141,27,7,2,7,10,2,0.259,0.791,50,13,4,0.26,0.887,301,71,19,0.236,0.771,2,4,4,10,23,10,0.33,0.327,0.322,110,333
665926,Andrés Giménez,141,16,6,0,1,2,1,0.375,0.912,39,14,1,0.359,0.913,260,63,7,0.242,0.649,0,0,5,9,12,6,0.204,0.225,0.209,55,269
